;Sterivex filter_1.0;Sterivex filter_2.0;Sterivex filter_3.0;Sterivex filter_4.0;crush_2.0;crush_3.0;crush_4.0
"0178aa3a1598acbb620d4c9ed26f1023d__Bacteria; p__Desulfobacterota; c__Desulfobulbia; o__Desulfobulbales; f__Desulfurivibrionaceae; g__Desulfurivibrio; s__";1;0;0;1;1;1;0
"02cd5c8ca6573892f4baa8b892806435d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiales_Incertae_Sedis; g__Phreatobacter; s__";0;0;0;0;1;1;0
"03c8e18344b087d8801ca159dec32428d__Bacteria; p__Latescibacterota; c__Latescibacteria; o__Latescibacterales; f__Latescibacteraceae; g__Latescibacteraceae; s__";1;1;1;1;1;1;1
"06e15402767e404cf76442645cfd5557d__Bacteria; p__Bacteroidota; c__Ignavibacteria; o__Ignavibacteriales; f__Ignavibacteriaceae; g__Ignavibacterium; s__";0;1;1;1;1;1;0
"07b3d1924ed63b578952d768e675fa10d__Bacteria; p__Desulfobacterota; c__Desulfobulbia; o__Desulfobulbales";0;0;1;0;1;1;1
"081136d0c2e6bad2debac52c10264a62d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriae; f__Acidobacteriae; g__Paludibaculum; s__";1;0;0;0;1;1;0
"108248f0e3d684081c3c7be18cb40ad4d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae";0;0;0;0;1;1;0
"1297a01c568906df836e1015a79e5533d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Denitratisoma; s__";0;0;0;0;0;1;0
"12c154b80fa3ac9234f9ad984b0a1408d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Hydrogenophilaceae; g__Thiobacillus; s__";0;0;0;0;1;1;0
"12fa00ee9184f8e2b160052d8e1ff92bd__Bacteria; p__Bacteroidota; c__Kapabacteria; o__Kapabacteriales; f__Kapabacteriales; g__Kapabacteriales; s__";0;0;0;0;1;1;0
"138643ac64cc0de7c954936889bcb354d__Bacteria; p__Latescibacterota; c__Latescibacterota; o__Latescibacterota; f__Latescibacterota; g__Latescibacterota; s__";1;1;1;1;1;1;1
"14474b72088a704bcb74a7713f27d07bd__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae";0;1;0;1;0;0;1
"15ed993c89a242a04b32665e1104f6e0d__Archaea; p__Hadarchaeota; c__Hadarchaeia; o__Hadarchaeia; f__Hadarchaeales; g__Hadarchaeales; s__";1;1;1;1;0;1;0
"185539df3053636ba41411d1d47fb207d__Bacteria; p__Firmicutes; c__Desulfotomaculia; o__Ammonifexales; f__Ammonificaceae; g__Thermodesulfitimonas; s__";1;1;1;1;1;1;0
"18646a1d7c956a5c4f4ea5d81bca9123d__Bacteria; p__Firmicutes; c__D8A-2; o__D8A-2; f__D8A-2; g__D8A-2; s__";1;1;1;1;1;1;1
"22cd17c9c4c41ba8ea28a2f137ccc112d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfosarcinaceae; g__Desulfatitalea; s__";0;0;0;0;1;1;0
"24e33c3bc0ccdb87dc3775312e737d12d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Lacunisphaera; s__";0;0;0;0;1;1;0
"25de5023cce9c3fdaf9adc67f9be4e12d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Hydrogenophilaceae; g__Thiobacillus; s__";0;1;0;0;1;1;1
"2dd2fbaf09505feed26c19b79abf2f7fd__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Ardenticatenales; f__uncultured; g__uncultured; s__";1;1;1;1;1;1;1
"3290b287781a705d47cb2230aeff77d4d__Bacteria; p__Desulfobacterota; c__Syntrophia; o__Syntrophales; f__Smithellaceae; g__Smithella; s__";0;1;0;0;1;1;1
"378d08ecc8515ee17cf6f1fe603f6749d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__Hyphomonas; s__";0;0;0;0;1;1;1
"3a5a6f8c8cb01a71c581792dfc4e7b46d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Zhizhongheella; s__";0;0;0;0;1;1;0
"3c047d7b18629d4babc0f2809e474860d__Bacteria; p__Actinobacteriota";1;1;1;1;1;1;0
